NOC,Gold,Silver,Bronze,Total,source_file
FRA,5,4,6,15,PyeongChang 2018 Olympics Nations Medals.csv
AUT,5,3,6,14,PyeongChang 2018 Olympics Nations Medals.csv
JPN,4,5,4,13,PyeongChang 2018 Olympics Nations Medals.csv
ITA,3,2,5,10,PyeongChang 2018 Olympics Nations Medals.csv
OAR,2,6,9,17,PyeongChang 2018 Olympics Nations Medals.csv
CZE,2,2,3,7,PyeongChang 2018 Olympics Nations Medals.csv
BLR,2,1,0,3,PyeongChang 2018 Olympics Nations Medals.csv
CHN,1,6,2,9,PyeongChang 2018 Olympics Nations Medals.csv
SVK,1,2,0,3,PyeongChang 2018 Olympics Nations Medals.csv
FIN,1,1,4,6,PyeongChang 2018 Olympics Nations Medals.csv
GBR,1,0,4,5,PyeongChang 2018 Olympics Nations Medals.csv
POL,1,0,1,2,PyeongChang 2018 Olympics Nations Medals.csv
UKR,1,0,0,1,PyeongChang 2018 Olympics Nations Medals.csv
HUN,1,0,0,1,PyeongChang 2018 Olympics Nations Medals.csv
AUS,0,2,1,3,PyeongChang 2018 Olympics Nations Medals.csv
SLO,0,1,1,2,PyeongChang 2018 Olympics Nations Medals.csv
BEL,0,1,0,1,PyeongChang 2018 Olympics Nations Medals.csv
NZL,0,0,2,2,PyeongChang 2018 Olympics Nations Medals.csv
ESP,0,0,2,2,PyeongChang 2018 Olympics Nations Medals.csv
KAZ,0,0,1,1,PyeongChang 2018 Olympics Nations Medals.csv
LIE,0,0,1,1,PyeongChang 2018 Olympics Nations Medals.csv
LAT,0,0,1,1,PyeongChang 2018 Olympics Nations Medals.csv
USA,46,37,38,121,Rio 2016 Olympics Nations Medals.csv
GBR,27,23,17,67,Rio 2016 Olympics Nations Medals.csv
CHN,26,18,26,70,Rio 2016 Olympics Nations Medals.csv
RUS,19,17,20,56,Rio 2016 Olympics Nations Medals.csv
GER,17,10,15,42,Rio 2016 Olympics Nations Medals.csv
JPN,12,8,21,41,Rio 2016 Olympics Nations Medals.csv
FRA,10,18,14,42,Rio 2016 Olympics Nations Medals.csv
KOR,9,3,9,21,Rio 2016 Olympics Nations Medals.csv
ITA,8,12,8,28,Rio 2016 Olympics Nations Medals.csv
AUS,8,11,10,29,Rio 2016 Olympics Nations Medals.csv
NED,8,7,4,19,Rio 2016 Olympics Nations Medals.csv
HUN,8,3,4,15,Rio 2016 Olympics Nations Medals.csv
BRA,7,6,6,19,Rio 2016 Olympics Nations Medals.csv
ESP,7,4,6,17,Rio 2016 Olympics Nations Medals.csv
KEN,6,6,1,13,Rio 2016 Olympics Nations Medals.csv
JAM,6,3,2,11,Rio 2016 Olympics Nations Medals.csv
CRO,5,3,2,10,Rio 2016 Olympics Nations Medals.csv
CUB,5,2,4,11,Rio 2016 Olympics Nations Medals.csv
NZL,4,9,5,18,Rio 2016 Olympics Nations Medals.csv
CAN,4,3,15,22,Rio 2016 Olympics Nations Medals.csv
UZB,4,2,7,13,Rio 2016 Olympics Nations Medals.csv
COL,3,2,3,8,Rio 2016 Olympics Nations Medals.csv
SUI,3,2,2,7,Rio 2016 Olympics Nations Medals.csv
IRI,3,1,4,8,Rio 2016 Olympics Nations Medals.csv
GRE,3,1,2,6,Rio 2016 Olympics Nations Medals.csv
ARG,3,1,0,4,Rio 2016 Olympics Nations Medals.csv
DEN,2,6,7,15,Rio 2016 Olympics Nations Medals.csv
SWE,2,6,3,11,Rio 2016 Olympics Nations Medals.csv
RSA,2,6,2,10,Rio 2016 Olympics Nations Medals.csv
KAZ,2,5,10,17,Rio 2016 Olympics Nations Medals.csv
UKR,2,5,4,11,Rio 2016 Olympics Nations Medals.csv
SRB,2,4,2,8,Rio 2016 Olympics Nations Medals.csv
POL,2,3,6,11,Rio 2016 Olympics Nations Medals.csv
PRK,2,3,2,7,Rio 2016 Olympics Nations Medals.csv
BEL,2,2,2,6,Rio 2016 Olympics Nations Medals.csv
THA,2,2,2,6,Rio 2016 Olympics Nations Medals.csv
SVK,2,2,0,4,Rio 2016 Olympics Nations Medals.csv
GEO,2,1,4,7,Rio 2016 Olympics Nations Medals.csv
AZE,1,7,10,18,Rio 2016 Olympics Nations Medals.csv
BLR,1,4,4,9,Rio 2016 Olympics Nations Medals.csv
TUR,1,3,4,8,Rio 2016 Olympics Nations Medals.csv
ARM,1,3,0,4,Rio 2016 Olympics Nations Medals.csv
CZE,1,2,7,10,Rio 2016 Olympics Nations Medals.csv
ETH,1,2,5,8,Rio 2016 Olympics Nations Medals.csv
SLO,1,2,1,4,Rio 2016 Olympics Nations Medals.csv
INA,1,2,0,3,Rio 2016 Olympics Nations Medals.csv
ROU,1,1,2,4,Rio 2016 Olympics Nations Medals.csv
BRN,1,1,0,2,Rio 2016 Olympics Nations Medals.csv
VIE,1,1,0,2,Rio 2016 Olympics Nations Medals.csv
TPE,1,0,2,3,Rio 2016 Olympics Nations Medals.csv
IOA,1,0,1,2,Rio 2016 Olympics Nations Medals.csv
BAH,1,0,1,2,Rio 2016 Olympics Nations Medals.csv
CIV,1,0,1,2,Rio 2016 Olympics Nations Medals.csv
KOS,1,0,0,1,Rio 2016 Olympics Nations Medals.csv
TJK,1,0,0,1,Rio 2016 Olympics Nations Medals.csv
FIJ,1,0,0,1,Rio 2016 Olympics Nations Medals.csv
JOR,1,0,0,1,Rio 2016 Olympics Nations Medals.csv
PUR,1,0,0,1,Rio 2016 Olympics Nations Medals.csv
SIN,1,0,0,1,Rio 2016 Olympics Nations Medals.csv
MAS,0,4,1,5,Rio 2016 Olympics Nations Medals.csv
MEX,0,3,2,5,Rio 2016 Olympics Nations Medals.csv
VEN,0,2,1,3,Rio 2016 Olympics Nations Medals.csv
ALG,0,2,0,2,Rio 2016 Olympics Nations Medals.csv
IRL,0,2,0,2,Rio 2016 Olympics Nations Medals.csv
LTU,0,1,3,4,Rio 2016 Olympics Nations Medals.csv
BUL,0,1,2,3,Rio 2016 Olympics Nations Medals.csv
MGL,0,1,1,2,Rio 2016 Olympics Nations Medals.csv
IND,0,1,1,2,Rio 2016 Olympics Nations Medals.csv
NIG,0,1,0,1,Rio 2016 Olympics Nations Medals.csv
PHI,0,1,0,1,Rio 2016 Olympics Nations Medals.csv
QAT,0,1,0,1,Rio 2016 Olympics Nations Medals.csv
BDI,0,1,0,1,Rio 2016 Olympics Nations Medals.csv
GRN,0,1,0,1,Rio 2016 Olympics Nations Medals.csv
NOR,0,0,4,4,Rio 2016 Olympics Nations Medals.csv
EGY,0,0,3,3,Rio 2016 Olympics Nations Medals.csv
TUN,0,0,3,3,Rio 2016 Olympics Nations Medals.csv
NGR,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
DOM,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
EST,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
TTO,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
UAE,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
AUT,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
POR,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
FIN,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
MAR,0,0,1,1,Rio 2016 Olympics Nations Medals.csv
NOR,13,5,7,25,SaltLakeCity 2002 Olympics Nations Medals.csv
GER,12,16,8,36,SaltLakeCity 2002 Olympics Nations Medals.csv
USA,10,13,11,34,SaltLakeCity 2002 Olympics Nations Medals.csv
CAN,7,3,7,17,SaltLakeCity 2002 Olympics Nations Medals.csv
RUS,5,4,4,13,SaltLakeCity 2002 Olympics Nations Medals.csv
FRA,4,5,2,11,SaltLakeCity 2002 Olympics Nations Medals.csv
ITA,4,4,5,13,SaltLakeCity 2002 Olympics Nations Medals.csv
FIN,4,2,1,7,SaltLakeCity 2002 Olympics Nations Medals.csv
NED,3,5,0,8,SaltLakeCity 2002 Olympics Nations Medals.csv
AUT,3,4,10,17,SaltLakeCity 2002 Olympics Nations Medals.csv
SUI,3,2,6,11,SaltLakeCity 2002 Olympics Nations Medals.csv
CRO,3,1,0,4,SaltLakeCity 2002 Olympics Nations Medals.csv
CHN,2,2,4,8,SaltLakeCity 2002 Olympics Nations Medals.csv
KOR,2,2,0,4,SaltLakeCity 2002 Olympics Nations Medals.csv
AUS,2,0,0,2,SaltLakeCity 2002 Olympics Nations Medals.csv
CZE,1,2,0,3,SaltLakeCity 2002 Olympics Nations Medals.csv
EST,1,1,1,3,SaltLakeCity 2002 Olympics Nations Medals.csv
GBR,1,0,1,2,SaltLakeCity 2002 Olympics Nations Medals.csv
SWE,0,2,5,7,SaltLakeCity 2002 Olympics Nations Medals.csv
BUL,0,1,2,3,SaltLakeCity 2002 Olympics Nations Medals.csv
POL,0,1,1,2,SaltLakeCity 2002 Olympics Nations Medals.csv
JPN,0,1,1,2,SaltLakeCity 2002 Olympics Nations Medals.csv
BLR,0,0,1,1,SaltLakeCity 2002 Olympics Nations Medals.csv
SLO,0,0,1,1,SaltLakeCity 2002 Olympics Nations Medals.csv
RUS,11,9,9,29,Sochi 2014 Olympics Nations Medals.csv
NOR,11,6,9,26,Sochi 2014 Olympics Nations Medals.csv
CAN,10,10,5,25,Sochi 2014 Olympics Nations Medals.csv
USA,9,9,10,28,Sochi 2014 Olympics Nations Medals.csv
NED,8,7,9,24,Sochi 2014 Olympics Nations Medals.csv
GER,8,6,5,19,Sochi 2014 Olympics Nations Medals.csv
SUI,7,2,2,11,Sochi 2014 Olympics Nations Medals.csv
BLR,5,0,1,6,Sochi 2014 Olympics Nations Medals.csv
AUT,4,8,5,17,Sochi 2014 Olympics Nations Medals.csv
FRA,4,4,7,15,Sochi 2014 Olympics Nations Medals.csv
POL,4,1,1,6,Sochi 2014 Olympics Nations Medals.csv
CHN,3,4,2,9,Sochi 2014 Olympics Nations Medals.csv
KOR,3,3,2,8,Sochi 2014 Olympics Nations Medals.csv
SWE,2,7,6,15,Sochi 2014 Olympics Nations Medals.csv
CZE,2,4,3,9,Sochi 2014 Olympics Nations Medals.csv
SLO,2,2,4,8,Sochi 2014 Olympics Nations Medals.csv
JPN,1,4,3,8,Sochi 2014 Olympics Nations Medals.csv
FIN,1,3,1,5,Sochi 2014 Olympics Nations Medals.csv
GBR,1,1,3,5,Sochi 2014 Olympics Nations Medals.csv
LAT,1,1,3,5,Sochi 2014 Olympics Nations Medals.csv
UKR,1,1,0,2,Sochi 2014 Olympics Nations Medals.csv
SVK,1,0,0,1,Sochi 2014 Olympics Nations Medals.csv
ITA,0,2,7,9,Sochi 2014 Olympics Nations Medals.csv
AUS,0,2,1,3,Sochi 2014 Olympics Nations Medals.csv
CRO,0,1,0,1,Sochi 2014 Olympics Nations Medals.csv
KAZ,0,0,1,1,Sochi 2014 Olympics Nations Medals.csv
USA,37,24,32,93,Sydney 2000 Olympics Nations Medals.csv
RUS,32,28,29,89,Sydney 2000 Olympics Nations Medals.csv
CHN,28,16,14,58,Sydney 2000 Olympics Nations Medals.csv
AUS,16,25,17,58,Sydney 2000 Olympics Nations Medals.csv
GER,13,17,26,56,Sydney 2000 Olympics Nations Medals.csv
FRA,13,14,11,38,Sydney 2000 Olympics Nations Medals.csv
ITA,13,8,13,34,Sydney 2000 Olympics Nations Medals.csv
NED,12,9,4,25,Sydney 2000 Olympics Nations Medals.csv
CUB,11,11,7,29,Sydney 2000 Olympics Nations Medals.csv
GBR,11,10,7,28,Sydney 2000 Olympics Nations Medals.csv
ROU,11,6,9,26,Sydney 2000 Olympics Nations Medals.csv
KOR,8,10,10,28,Sydney 2000 Olympics Nations Medals.csv
HUN,8,6,3,17,Sydney 2000 Olympics Nations Medals.csv
POL,6,5,3,14,Sydney 2000 Olympics Nations Medals.csv
JPN,5,8,5,18,Sydney 2000 Olympics Nations Medals.csv
BUL,5,6,2,13,Sydney 2000 Olympics Nations Medals.csv
GRE,4,6,3,13,Sydney 2000 Olympics Nations Medals.csv
SWE,4,5,3,12,Sydney 2000 Olympics Nations Medals.csv
NOR,4,3,3,10,Sydney 2000 Olympics Nations Medals.csv
ETH,4,1,3,8,Sydney 2000 Olympics Nations Medals.csv
UKR,3,10,10,23,Sydney 2000 Olympics Nations Medals.csv
KAZ,3,4,0,7,Sydney 2000 Olympics Nations Medals.csv
BLR,3,3,11,17,Sydney 2000 Olympics Nations Medals.csv
CAN,3,3,8,14,Sydney 2000 Olympics Nations Medals.csv
ESP,3,3,5,11,Sydney 2000 Olympics Nations Medals.csv
TUR,3,0,2,5,Sydney 2000 Olympics Nations Medals.csv
IRI,3,0,1,4,Sydney 2000 Olympics Nations Medals.csv
CZE,2,3,3,8,Sydney 2000 Olympics Nations Medals.csv
KEN,2,3,2,7,Sydney 2000 Olympics Nations Medals.csv
DEN,2,3,1,6,Sydney 2000 Olympics Nations Medals.csv
FIN,2,1,1,4,Sydney 2000 Olympics Nations Medals.csv
AUT,2,1,0,3,Sydney 2000 Olympics Nations Medals.csv
LTU,2,0,3,5,Sydney 2000 Olympics Nations Medals.csv
BAH,2,0,1,3,Sydney 2000 Olympics Nations Medals.csv
AZE,2,0,1,3,Sydney 2000 Olympics Nations Medals.csv
SLO,2,0,0,2,Sydney 2000 Olympics Nations Medals.csv
SUI,1,6,2,9,Sydney 2000 Olympics Nations Medals.csv
INA,1,3,2,6,Sydney 2000 Olympics Nations Medals.csv
SVK,1,3,1,5,Sydney 2000 Olympics Nations Medals.csv
MEX,1,2,3,6,Sydney 2000 Olympics Nations Medals.csv
NGR,1,2,0,3,Sydney 2000 Olympics Nations Medals.csv
ALG,1,1,3,5,Sydney 2000 Olympics Nations Medals.csv
UZB,1,1,2,4,Sydney 2000 Olympics Nations Medals.csv
YUG,1,1,1,3,Sydney 2000 Olympics Nations Medals.csv
LAT,1,1,1,3,Sydney 2000 Olympics Nations Medals.csv
NZL,1,0,3,4,Sydney 2000 Olympics Nations Medals.csv
THA,1,0,2,3,Sydney 2000 Olympics Nations Medals.csv
EST,1,0,2,3,Sydney 2000 Olympics Nations Medals.csv
CRO,1,0,1,2,Sydney 2000 Olympics Nations Medals.csv
CMR,1,0,0,1,Sydney 2000 Olympics Nations Medals.csv
COL,1,0,0,1,Sydney 2000 Olympics Nations Medals.csv
MOZ,1,0,0,1,Sydney 2000 Olympics Nations Medals.csv
BRA,0,6,6,12,Sydney 2000 Olympics Nations Medals.csv
JAM,0,6,3,9,Sydney 2000 Olympics Nations Medals.csv
BEL,0,2,3,5,Sydney 2000 Olympics Nations Medals.csv
RSA,0,2,3,5,Sydney 2000 Olympics Nations Medals.csv
ARG,0,2,2,4,Sydney 2000 Olympics Nations Medals.csv
MAR,0,1,4,5,Sydney 2000 Olympics Nations Medals.csv
TPE,0,1,4,5,Sydney 2000 Olympics Nations Medals.csv
PRK,0,1,3,4,Sydney 2000 Olympics Nations Medals.csv
TTO,0,1,1,2,Sydney 2000 Olympics Nations Medals.csv
KSA,0,1,1,2,Sydney 2000 Olympics Nations Medals.csv
MDA,0,1,1,2,Sydney 2000 Olympics Nations Medals.csv
URU,0,1,0,1,Sydney 2000 Olympics Nations Medals.csv
VIE,0,1,0,1,Sydney 2000 Olympics Nations Medals.csv
IRL,0,1,0,1,Sydney 2000 Olympics Nations Medals.csv
SRI,0,1,0,1,Sydney 2000 Olympics Nations Medals.csv
GEO,0,0,6,6,Sydney 2000 Olympics Nations Medals.csv
CRC,0,0,2,2,Sydney 2000 Olympics Nations Medals.csv
POR,0,0,2,2,Sydney 2000 Olympics Nations Medals.csv
BAR,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
QAT,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
KGZ,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
IND,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
ARM,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
KUW,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
MKD,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
CHI,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
ISL,0,0,1,1,Sydney 2000 Olympics Nations Medals.csv
USA,39,41,33,113,Tokyo 2020 Olympics Nations Medals.csv
CHN,38,32,19,89,Tokyo 2020 Olympics Nations Medals.csv
JPN,27,14,17,58,Tokyo 2020 Olympics Nations Medals.csv
GBR,22,20,22,64,Tokyo 2020 Olympics Nations Medals.csv
ROC,20,28,23,71,Tokyo 2020 Olympics Nations Medals.csv
AUS,17,7,22,46,Tokyo 2020 Olympics Nations Medals.csv
NED,10,12,14,36,Tokyo 2020 Olympics Nations Medals.csv
FRA,10,12,11,33,Tokyo 2020 Olympics Nations Medals.csv
GER,10,11,16,37,Tokyo 2020 Olympics Nations Medals.csv
ITA,10,10,20,40,Tokyo 2020 Olympics Nations Medals.csv
CAN,7,7,10,24,Tokyo 2020 Olympics Nations Medals.csv
BRA,7,6,8,21,Tokyo 2020 Olympics Nations Medals.csv
NZL,7,6,7,20,Tokyo 2020 Olympics Nations Medals.csv
CUB,7,3,5,15,Tokyo 2020 Olympics Nations Medals.csv
HUN,6,7,7,20,Tokyo 2020 Olympics Nations Medals.csv
KOR,6,4,10,20,Tokyo 2020 Olympics Nations Medals.csv
POL,4,5,5,14,Tokyo 2020 Olympics Nations Medals.csv
CZE,4,4,3,11,Tokyo 2020 Olympics Nations Medals.csv
KEN,4,4,2,10,Tokyo 2020 Olympics Nations Medals.csv
NOR,4,2,2,8,Tokyo 2020 Olympics Nations Medals.csv
JAM,4,1,4,9,Tokyo 2020 Olympics Nations Medals.csv
ESP,3,8,6,17,Tokyo 2020 Olympics Nations Medals.csv
SWE,3,6,0,9,Tokyo 2020 Olympics Nations Medals.csv
SUI,3,4,6,13,Tokyo 2020 Olympics Nations Medals.csv
DEN,3,4,4,11,Tokyo 2020 Olympics Nations Medals.csv
CRO,3,3,2,8,Tokyo 2020 Olympics Nations Medals.csv
IRI,3,2,2,7,Tokyo 2020 Olympics Nations Medals.csv
SRB,3,1,5,9,Tokyo 2020 Olympics Nations Medals.csv
BEL,3,1,3,7,Tokyo 2020 Olympics Nations Medals.csv
BUL,3,1,2,6,Tokyo 2020 Olympics Nations Medals.csv
SLO,3,1,1,5,Tokyo 2020 Olympics Nations Medals.csv
UZB,3,0,2,5,Tokyo 2020 Olympics Nations Medals.csv
GEO,2,5,1,8,Tokyo 2020 Olympics Nations Medals.csv
TPE,2,4,6,12,Tokyo 2020 Olympics Nations Medals.csv
TUR,2,2,9,13,Tokyo 2020 Olympics Nations Medals.csv
UGA,2,1,1,4,Tokyo 2020 Olympics Nations Medals.csv
GRE,2,1,1,4,Tokyo 2020 Olympics Nations Medals.csv
ECU,2,1,0,3,Tokyo 2020 Olympics Nations Medals.csv
IRL,2,0,2,4,Tokyo 2020 Olympics Nations Medals.csv
QAT,2,0,1,3,Tokyo 2020 Olympics Nations Medals.csv
BAH,2,0,0,2,Tokyo 2020 Olympics Nations Medals.csv
KOS,2,0,0,2,Tokyo 2020 Olympics Nations Medals.csv
UKR,1,6,12,19,Tokyo 2020 Olympics Nations Medals.csv
BLR,1,3,3,7,Tokyo 2020 Olympics Nations Medals.csv
ROU,1,3,0,4,Tokyo 2020 Olympics Nations Medals.csv
VEN,1,3,0,4,Tokyo 2020 Olympics Nations Medals.csv
IND,1,2,4,7,Tokyo 2020 Olympics Nations Medals.csv
HKG,1,2,3,6,Tokyo 2020 Olympics Nations Medals.csv
SVK,1,2,1,4,Tokyo 2020 Olympics Nations Medals.csv
PHI,1,2,1,4,Tokyo 2020 Olympics Nations Medals.csv
RSA,1,2,0,3,Tokyo 2020 Olympics Nations Medals.csv
AUT,1,1,5,7,Tokyo 2020 Olympics Nations Medals.csv
EGY,1,1,4,6,Tokyo 2020 Olympics Nations Medals.csv
INA,1,1,3,5,Tokyo 2020 Olympics Nations Medals.csv
ETH,1,1,2,4,Tokyo 2020 Olympics Nations Medals.csv
POR,1,1,2,4,Tokyo 2020 Olympics Nations Medals.csv
TUN,1,1,0,2,Tokyo 2020 Olympics Nations Medals.csv
EST,1,0,1,2,Tokyo 2020 Olympics Nations Medals.csv
FIJ,1,0,1,2,Tokyo 2020 Olympics Nations Medals.csv
THA,1,0,1,2,Tokyo 2020 Olympics Nations Medals.csv
LAT,1,0,1,2,Tokyo 2020 Olympics Nations Medals.csv
BER,1,0,0,1,Tokyo 2020 Olympics Nations Medals.csv
PUR,1,0,0,1,Tokyo 2020 Olympics Nations Medals.csv
MAR,1,0,0,1,Tokyo 2020 Olympics Nations Medals.csv
COL,0,4,1,5,Tokyo 2020 Olympics Nations Medals.csv
AZE,0,3,4,7,Tokyo 2020 Olympics Nations Medals.csv
DOM,0,3,2,5,Tokyo 2020 Olympics Nations Medals.csv
ARM,0,2,2,4,Tokyo 2020 Olympics Nations Medals.csv
KGZ,0,2,1,3,Tokyo 2020 Olympics Nations Medals.csv
MGL,0,1,3,4,Tokyo 2020 Olympics Nations Medals.csv
SMR,0,1,2,3,Tokyo 2020 Olympics Nations Medals.csv
ARG,0,1,2,3,Tokyo 2020 Olympics Nations Medals.csv
JOR,0,1,1,2,Tokyo 2020 Olympics Nations Medals.csv
MAS,0,1,1,2,Tokyo 2020 Olympics Nations Medals.csv
NGR,0,1,1,2,Tokyo 2020 Olympics Nations Medals.csv
MKD,0,1,0,1,Tokyo 2020 Olympics Nations Medals.csv
NAM,0,1,0,1,Tokyo 2020 Olympics Nations Medals.csv
LTU,0,1,0,1,Tokyo 2020 Olympics Nations Medals.csv
TKM,0,1,0,1,Tokyo 2020 Olympics Nations Medals.csv
KSA,0,1,0,1,Tokyo 2020 Olympics Nations Medals.csv
BRN,0,1,0,1,Tokyo 2020 Olympics Nations Medals.csv
KAZ,0,0,8,8,Tokyo 2020 Olympics Nations Medals.csv
MEX,0,0,4,4,Tokyo 2020 Olympics Nations Medals.csv
FIN,0,0,2,2,Tokyo 2020 Olympics Nations Medals.csv
BUR,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv
SYR,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv
GRN,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv
MDA,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv
CIV,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv
BOT,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv
GHA,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv
KUW,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv
GER,11,12,6,29,Torino 2006 Olympics Nations Medals.csv
USA,9,9,7,25,Torino 2006 Olympics Nations Medals.csv
AUT,9,7,7,23,Torino 2006 Olympics Nations Medals.csv
RUS,8,6,8,22,Torino 2006 Olympics Nations Medals.csv
CAN,7,10,7,24,Torino 2006 Olympics Nations Medals.csv
SWE,7,2,5,14,Torino 2006 Olympics Nations Medals.csv
KOR,6,3,2,11,Torino 2006 Olympics Nations Medals.csv
SUI,5,4,5,14,Torino 2006 Olympics Nations Medals.csv
ITA,5,0,6,11,Torino 2006 Olympics Nations Medals.csv
FRA,3,2,4,9,Torino 2006 Olympics Nations Medals.csv
NED,3,2,4,9,Torino 2006 Olympics Nations Medals.csv
EST,3,0,0,3,Torino 2006 Olympics Nations Medals.csv
NOR,2,8,9,19,Torino 2006 Olympics Nations Medals.csv
CHN,2,4,5,11,Torino 2006 Olympics Nations Medals.csv
CZE,1,2,1,4,Torino 2006 Olympics Nations Medals.csv
CRO,1,2,0,3,Torino 2006 Olympics Nations Medals.csv
AUS,1,0,1,2,Torino 2006 Olympics Nations Medals.csv
JPN,1,0,0,1,Torino 2006 Olympics Nations Medals.csv
FIN,0,6,3,9,Torino 2006 Olympics Nations Medals.csv
POL,0,1,1,2,Torino 2006 Olympics Nations Medals.csv
BLR,0,1,0,1,Torino 2006 Olympics Nations Medals.csv
GBR,0,1,0,1,Torino 2006 Olympics Nations Medals.csv
BUL,0,1,0,1,Torino 2006 Olympics Nations Medals.csv
SVK,0,1,0,1,Torino 2006 Olympics Nations Medals.csv
UKR,0,0,2,2,Torino 2006 Olympics Nations Medals.csv
LAT,0,0,1,1,Torino 2006 Olympics Nations Medals.csv
CAN,14,7,5,26,Vancouver 2010 Olympics Nations Medals.csv
GER,10,13,7,30,Vancouver 2010 Olympics Nations Medals.csv
USA,9,15,13,37,Vancouver 2010 Olympics Nations Medals.csv
NOR,9,8,6,23,Vancouver 2010 Olympics Nations Medals.csv
KOR,6,6,2,14,Vancouver 2010 Olympics Nations Medals.csv
SUI,6,0,3,9,Vancouver 2010 Olympics Nations Medals.csv
CHN,5,2,4,11,Vancouver 2010 Olympics Nations Medals.csv
SWE,5,2,4,11,Vancouver 2010 Olympics Nations Medals.csv
AUT,4,6,6,16,Vancouver 2010 Olympics Nations Medals.csv
NED,4,1,3,8,Vancouver 2010 Olympics Nations Medals.csv
RUS,3,5,7,15,Vancouver 2010 Olympics Nations Medals.csv
FRA,2,3,6,11,Vancouver 2010 Olympics Nations Medals.csv
AUS,2,1,0,3,Vancouver 2010 Olympics Nations Medals.csv
CZE,2,0,4,6,Vancouver 2010 Olympics Nations Medals.csv
POL,1,3,2,6,Vancouver 2010 Olympics Nations Medals.csv
ITA,1,1,3,5,Vancouver 2010 Olympics Nations Medals.csv
BLR,1,1,1,3,Vancouver 2010 Olympics Nations Medals.csv
SVK,1,1,1,3,Vancouver 2010 Olympics Nations Medals.csv
GBR,1,0,0,1,Vancouver 2010 Olympics Nations Medals.csv
JPN,0,3,2,5,Vancouver 2010 Olympics Nations Medals.csv
SLO,0,2,1,3,Vancouver 2010 Olympics Nations Medals.csv
CRO,0,2,1,3,Vancouver 2010 Olympics Nations Medals.csv
LAT,0,2,0,2,Vancouver 2010 Olympics Nations Medals.csv
FIN,0,1,4,5,Vancouver 2010 Olympics Nations Medals.csv
KAZ,0,1,0,1,Vancouver 2010 Olympics Nations Medals.csv
EST,0,1,0,1,Vancouver 2010 Olympics Nations Medals.csv
