NOC,Gold,Silver,Bronze,Total,City
CAN,3,6,4,13,Lillehammer
SUI,3,4,2,9,Lillehammer
AUT,2,3,4,9,Lillehammer
SWE,2,1,0,3,Lillehammer
JPN,1,2,2,5,Lillehammer
KAZ,1,2,0,3,Lillehammer
UKR,1,0,1,2,Lillehammer
UZB,1,0,0,1,Lillehammer
BLR,0,2,0,2,Lillehammer
FIN,0,1,5,6,Lillehammer
FRA,0,1,4,5,Lillehammer
NED,0,1,3,4,Lillehammer
CHN,0,1,2,3,Lillehammer
SLO,0,0,3,3,Lillehammer
GBR,0,0,2,2,Lillehammer
AUS,0,0,1,1,Lillehammer
USA,48,26,30,104,London
CHN,39,31,22,92,London
GBR,29,18,18,65,London
RUS,18,21,26,65,London
KOR,13,9,9,31,London
GER,11,20,13,44,London
FRA,11,11,13,35,London
AUS,8,15,12,35,London
ITA,8,9,11,28,London
HUN,8,4,6,18,London
JPN,7,14,17,38,London
IRI,7,5,1,13,London
NED,6,6,8,20,London
NZL,6,2,5,13,London
UKR,5,4,10,19,London
CUB,5,3,7,15,London
ESP,4,10,6,20,London
JAM,4,5,4,13,London
CZE,4,4,3,11,London
RSA,4,1,1,6,London
PRK,4,0,3,7,London
BRA,3,5,9,17,London
KAZ,3,2,6,11,London
POL,3,2,6,11,London
ETH,3,2,3,8,London
CRO,3,1,2,6,London
CAN,2,6,10,18,London
BLR,2,5,3,10,London
KEN,2,4,7,13,London
DEN,2,4,3,9,London
ROU,2,4,1,7,London
AZE,2,2,5,9,London
SUI,2,2,0,4,London
NOR,2,1,1,4,London
LTU,2,0,3,5,London
TUN,2,0,1,3,London
SWE,1,4,3,8,London
COL,1,3,5,9,London
MEX,1,3,4,8,London
GEO,1,2,3,6,London
IRL,1,1,4,6,London
ARG,1,1,2,4,London
SLO,1,1,2,4,London
TTO,1,1,2,4,London
SRB,1,1,2,4,London
TUR,1,1,1,3,London
DOM,1,1,0,2,London
TPE,1,0,1,2,London
LAT,1,0,1,2,London
BAH,1,0,0,1,London
ALG,1,0,0,1,London
GRN,1,0,0,1,London
VEN,1,0,0,1,London
BRN,1,0,0,1,London
UGA,1,0,0,1,London
EGY,0,3,1,4,London
IND,0,2,4,6,London
MGL,0,2,3,5,London
THA,0,2,2,4,London
INA,0,2,1,3,London
BUL,0,2,1,3,London
FIN,0,2,1,3,London
SVK,0,1,3,4,London
BEL,0,1,2,3,London
MAS,0,1,1,2,London
QAT,0,1,1,2,London
ARM,0,1,1,2,London
EST,0,1,1,2,London
PUR,0,1,1,2,London
GUA,0,1,0,1,London
CYP,0,1,0,1,London
BOT,0,1,0,1,London
POR,0,1,0,1,London
MNE,0,1,0,1,London
GAB,0,1,0,1,London
UZB,0,0,3,3,London
SIN,0,0,2,2,London
GRE,0,0,2,2,London
VIE,0,0,1,1,London
MAR,0,0,1,1,London
TJK,0,0,1,1,London
KUW,0,0,1,1,London
HKG,0,0,1,1,London
CMR,0,0,1,1,London
KSA,0,0,1,1,London
AFG,0,0,1,1,London
GER,12,9,8,29,Nagano
NOR,10,10,5,25,Nagano
RUS,9,6,3,18,Nagano
CAN,6,5,4,15,Nagano
USA,6,3,4,13,Nagano
NED,5,4,2,11,Nagano
JPN,5,1,4,10,Nagano
AUT,3,5,9,17,Nagano
KOR,3,1,2,6,Nagano
ITA,2,6,2,10,Nagano
FIN,2,4,6,12,Nagano
SUI,2,2,3,7,Nagano
FRA,2,1,5,8,Nagano
CZE,1,1,1,3,Nagano
BUL,1,0,0,1,Nagano
CHN,0,6,2,8,Nagano
SWE,0,2,1,3,Nagano
DEN,0,1,0,1,Nagano
UKR,0,1,0,1,Nagano
KAZ,0,0,2,2,Nagano
BLR,0,0,2,2,Nagano
GBR,0,0,1,1,Nagano
BEL,0,0,1,1,Nagano
AUS,0,0,1,1,Nagano
USA,40,44,42,126,Paris
CHN,40,27,24,91,Paris
JPN,20,12,13,45,Paris
AUS,18,19,16,53,Paris
FRA,16,26,22,64,Paris
NED,15,7,12,34,Paris
GBR,14,22,29,65,Paris
KOR,13,9,10,32,Paris
ITA,12,13,15,40,Paris
GER,12,13,8,33,Paris
NZL,10,7,3,20,Paris
CAN,9,7,11,27,Paris
UZB,8,2,3,13,Paris
HUN,6,7,6,19,Paris
ESP,5,4,9,18,Paris
SWE,4,4,3,11,Paris
KEN,4,2,5,11,Paris
NOR,4,1,3,8,Paris
IRL,4,0,3,7,Paris
BRA,3,7,10,20,Paris
IRI,3,6,3,12,Paris
UKR,3,5,4,12,Paris
ROU,3,4,2,9,Paris
GEO,3,3,1,7,Paris
BEL,3,1,6,10,Paris
BUL,3,1,3,7,Paris
SRB,3,1,1,5,Paris
CZE,3,0,2,5,Paris
DEN,2,2,5,9,Paris
CRO,2,2,3,7,Paris
AZE,2,2,3,7,Paris
CUB,2,1,6,9,Paris
BRN,2,1,1,4,Paris
SLO,2,1,0,3,Paris
TPE,2,0,5,7,Paris
AUT,2,0,3,5,Paris
PHI,2,0,2,4,Paris
HKG,2,0,2,4,Paris
INA,2,0,1,3,Paris
ALG,2,0,1,3,Paris
ISR,1,5,1,7,Paris
POL,1,4,5,10,Paris
KAZ,1,3,3,7,Paris
JAM,1,3,2,6,Paris
THA,1,3,2,6,Paris
RSA,1,3,2,6,Paris
AIN,1,3,1,5,Paris
ETH,1,3,0,4,Paris
SUI,1,2,5,8,Paris
ECU,1,2,2,5,Paris
POR,1,2,1,4,Paris
GRE,1,1,6,8,Paris
ARG,1,1,1,3,Paris
EGY,1,1,1,3,Paris
TUN,1,1,1,3,Paris
LCA,1,1,0,2,Paris
CHI,1,1,0,2,Paris
UGA,1,1,0,2,Paris
BOT,1,1,0,2,Paris
DOM,1,0,1,2,Paris
MAR,1,0,1,2,Paris
PAK,1,0,0,1,Paris
DMA,1,0,0,1,Paris
TUR,0,3,5,8,Paris
MEX,0,3,2,5,Paris
COL,0,3,1,4,Paris
ARM,0,3,1,4,Paris
PRK,0,2,4,6,Paris
KGZ,0,2,4,6,Paris
LTU,0,2,2,4,Paris
IND,0,1,5,6,Paris
MDA,0,1,3,4,Paris
KOS,0,1,1,2,Paris
PAN,0,1,0,1,Paris
JOR,0,1,0,1,Paris
CYP,0,1,0,1,Paris
MGL,0,1,0,1,Paris
FIJ,0,1,0,1,Paris
TJK,0,0,3,3,Paris
ALB,0,0,2,2,Paris
GRN,0,0,2,2,Paris
PUR,0,0,2,2,Paris
MAS,0,0,2,2,Paris
CPV,0,0,1,1,Paris
QAT,0,0,1,1,Paris
ZAM,0,0,1,1,Paris
SIN,0,0,1,1,Paris
CIV,0,0,1,1,Paris
ROT,0,0,1,1,Paris
PER,0,0,1,1,Paris
SVK,0,0,1,1,Paris
NOR,14,14,11,39,PyeongChang
GER,14,10,7,31,PyeongChang
CAN,11,8,10,29,PyeongChang
USA,9,8,6,23,PyeongChang
NED,8,6,6,20,PyeongChang
SWE,7,6,1,14,PyeongChang
KOR,5,8,4,17,PyeongChang
SUI,5,6,4,15,PyeongChang
FRA,5,4,6,15,PyeongChang
AUT,5,3,6,14,PyeongChang
JPN,4,5,4,13,PyeongChang
ITA,3,2,5,10,PyeongChang
OAR,2,6,9,17,PyeongChang
CZE,2,2,3,7,PyeongChang
BLR,2,1,0,3,PyeongChang
CHN,1,6,2,9,PyeongChang
SVK,1,2,0,3,PyeongChang
FIN,1,1,4,6,PyeongChang
GBR,1,0,4,5,PyeongChang
