CountryKey,NOC,Country,Gold,Silver,Bronze,Total,SourceFile,Year,country_full,region,population,area_(sq._mi.),pop._density_(per_sq._mi.),coastline_(coast_area_ratio),net_migration,infant_mortality_(per_1000_births),gdp_($_per_capita),literacy_(percent),phones_(per_1000),arable_(percent),crops_(percent),other_(percent),climate,birthrate,deathrate,agriculture,industry,service
ESTONIA,EST,EST,1,0,2,3,Sydney 2000 Olympics Nations Medals.csv,2000,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ESTONIA,EST,EST,1,1,1,3,SaltLakeCity 2002 Olympics Nations Medals.csv,2002,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ESTONIA,EST,EST,0,1,2,3,Athens 2004 Olympics Nations Medals.csv,2004,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ESTONIA,EST,EST,3,0,0,3,Torino 2006 Olympics Nations Medals.csv,2006,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ESTONIA,EST,EST,0,1,0,1,Vancouver 2010 Olympics Nations Medals.csv,2010,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ESTONIA,EST,EST,0,1,1,2,London 2012 Olympics Nations Medals.csv,2012,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ESTONIA,EST,EST,0,0,1,1,Rio 2016 Olympics Nations Medals.csv,2016,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ESTONIA,EST,EST,1,0,1,2,Tokyo 2020 Olympics Nations Medals.csv,2020,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ESTONIA,EST,EST,0,0,1,1,beijing_2022_Olympics_Nations_Medals.csv,2022,Estonia,BALTICS,1324333,45226,29.3,8.39,-3.16,7.87,12300,99.8,333.8,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666
ETHIOPIA,ETH,ETH,2,0,1,3,Atlanta 1996 Olympics Nations Medals.csv,1996,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
ETHIOPIA,ETH,ETH,4,1,3,8,Sydney 2000 Olympics Nations Medals.csv,2000,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
ETHIOPIA,ETH,ETH,2,3,2,7,Athens 2004 Olympics Nations Medals.csv,2004,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
ETHIOPIA,ETH,ETH,3,2,3,8,London 2012 Olympics Nations Medals.csv,2012,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
ETHIOPIA,ETH,ETH,1,2,5,8,Rio 2016 Olympics Nations Medals.csv,2016,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
ETHIOPIA,ETH,ETH,1,1,2,4,Tokyo 2020 Olympics Nations Medals.csv,2020,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
ETHIOPIA,ETH,ETH,1,3,0,4,Paris 2024 Olympics_Nations Medals.csv,2024,Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
FIJI,FIJ,FIJ,1,0,0,1,Rio 2016 Olympics Nations Medals.csv,2016,Fiji,OCEANIA,905949,18270,49.6,6.18,-3.14,12.62,5800,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776
FIJI,FIJ,FIJ,1,0,1,2,Tokyo 2020 Olympics Nations Medals.csv,2020,Fiji,OCEANIA,905949,18270,49.6,6.18,-3.14,12.62,5800,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776
FIJI,FIJ,FIJ,0,1,0,1,Paris 2024 Olympics_Nations Medals.csv,2024,Fiji,OCEANIA,905949,18270,49.6,6.18,-3.14,12.62,5800,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776
FINLAND,FIN,FIN,0,1,5,6,Lillehammer 1994 Olympics Nations Medals.csv,1994,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,1,2,1,4,Atlanta 1996 Olympics Nations Medals.csv,1996,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,2,4,6,12,Nagano 1998 Olympics Nations Medals.csv,1998,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,2,1,1,4,Sydney 2000 Olympics Nations Medals.csv,2000,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,4,2,1,7,SaltLakeCity 2002 Olympics Nations Medals.csv,2002,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,0,2,0,2,Athens 2004 Olympics Nations Medals.csv,2004,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,0,6,3,9,Torino 2006 Olympics Nations Medals.csv,2006,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,0,1,4,5,Vancouver 2010 Olympics Nations Medals.csv,2010,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,0,2,1,3,London 2012 Olympics Nations Medals.csv,2012,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,1,3,1,5,Sochi 2014 Olympics Nations Medals.csv,2014,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,0,0,1,1,Rio 2016 Olympics Nations Medals.csv,2016,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,1,1,4,6,PyeongChang 2018 Olympics Nations Medals.csv,2018,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,0,0,2,2,Tokyo 2020 Olympics Nations Medals.csv,2020,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FINLAND,FIN,FIN,2,2,4,8,beijing_2022_Olympics_Nations_Medals.csv,2022,Finland,WESTERN EUROPE,5231372,338145,15.5,0.37,0.95,3.57,27400,100,405.3,7.19,0.03,92.78,3,10.45,9.86,0.028,0.295,0.676
FRANCE,FRA,FRA,0,1,4,5,Lillehammer 1994 Olympics Nations Medals.csv,1994,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,15,7,15,37,Atlanta 1996 Olympics Nations Medals.csv,1996,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,2,1,5,8,Nagano 1998 Olympics Nations Medals.csv,1998,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,13,14,11,38,Sydney 2000 Olympics Nations Medals.csv,2000,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,4,5,2,11,SaltLakeCity 2002 Olympics Nations Medals.csv,2002,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,11,9,13,33,Athens 2004 Olympics Nations Medals.csv,2004,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,3,2,4,9,Torino 2006 Olympics Nations Medals.csv,2006,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,2,3,6,11,Vancouver 2010 Olympics Nations Medals.csv,2010,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,11,11,13,35,London 2012 Olympics Nations Medals.csv,2012,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,4,4,7,15,Sochi 2014 Olympics Nations Medals.csv,2014,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,10,18,14,42,Rio 2016 Olympics Nations Medals.csv,2016,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,5,4,6,15,PyeongChang 2018 Olympics Nations Medals.csv,2018,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,10,12,11,33,Tokyo 2020 Olympics Nations Medals.csv,2020,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,5,7,2,14,beijing_2022_Olympics_Nations_Medals.csv,2022,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
FRANCE,FRA,FRA,16,26,22,64,Paris 2024 Olympics_Nations Medals.csv,2024,France,WESTERN EUROPE,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764
GABON,GAB,GAB,0,1,0,1,London 2012 Olympics Nations Medals.csv,2012,Gabon,SUB-SAHARAN AFRICA,1424906,267667,5.3,0.33,0,53.64,5500,63.2,27.4,1.26,0.66,98.08,2,36.16,12.25,0.061,0.592,0.348
UNITED KINGDOM,GBR,GBR,0,0,2,2,Lillehammer 1994 Olympics Nations Medals.csv,1994,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,1,8,6,15,Atlanta 1996 Olympics Nations Medals.csv,1996,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,0,0,1,1,Nagano 1998 Olympics Nations Medals.csv,1998,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,11,10,7,28,Sydney 2000 Olympics Nations Medals.csv,2000,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,1,0,1,2,SaltLakeCity 2002 Olympics Nations Medals.csv,2002,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,9,9,12,30,Athens 2004 Olympics Nations Medals.csv,2004,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,0,1,0,1,Torino 2006 Olympics Nations Medals.csv,2006,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,1,0,0,1,Vancouver 2010 Olympics Nations Medals.csv,2010,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,29,18,18,65,London 2012 Olympics Nations Medals.csv,2012,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,1,1,3,5,Sochi 2014 Olympics Nations Medals.csv,2014,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,27,23,17,67,Rio 2016 Olympics Nations Medals.csv,2016,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,1,0,4,5,PyeongChang 2018 Olympics Nations Medals.csv,2018,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,22,20,22,64,Tokyo 2020 Olympics Nations Medals.csv,2020,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,1,1,0,2,beijing_2022_Olympics_Nations_Medals.csv,2022,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
UNITED KINGDOM,GBR,GBR,14,22,29,65,Paris 2024 Olympics_Nations Medals.csv,2024,United Kingdom,WESTERN EUROPE,60609153,244820,247.6,5.08,2.19,5.16,27700,99,543.5,23.46,0.21,76.33,3,10.71,10.13,0.005,0.237,0.758
GEORGIA,GEO,GEO,0,0,2,2,Atlanta 1996 Olympics Nations Medals.csv,1996,Georgia,C.W. OF IND. STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
GEORGIA,GEO,GEO,0,0,6,6,Sydney 2000 Olympics Nations Medals.csv,2000,Georgia,C.W. OF IND. STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
GEORGIA,GEO,GEO,2,2,0,4,Athens 2004 Olympics Nations Medals.csv,2004,Georgia,C.W. OF IND. STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
GEORGIA,GEO,GEO,1,2,3,6,London 2012 Olympics Nations Medals.csv,2012,Georgia,C.W. OF IND. STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
GEORGIA,GEO,GEO,2,1,4,7,Rio 2016 Olympics Nations Medals.csv,2016,Georgia,C.W. OF IND. STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
GEORGIA,GEO,GEO,2,5,1,8,Tokyo 2020 Olympics Nations Medals.csv,2020,Georgia,C.W. OF IND. STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
GEORGIA,GEO,GEO,3,3,1,7,Paris 2024 Olympics_Nations Medals.csv,2024,Georgia,C.W. OF IND. STATES,4661473,69700,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
GERMANY,GER,GER,9,7,8,24,Lillehammer 1994 Olympics Nations Medals.csv,1994,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,20,18,27,65,Atlanta 1996 Olympics Nations Medals.csv,1996,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,12,9,8,29,Nagano 1998 Olympics Nations Medals.csv,1998,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,13,17,26,56,Sydney 2000 Olympics Nations Medals.csv,2000,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,12,16,8,36,SaltLakeCity 2002 Olympics Nations Medals.csv,2002,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,13,16,20,49,Athens 2004 Olympics Nations Medals.csv,2004,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,11,12,6,29,Torino 2006 Olympics Nations Medals.csv,2006,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,10,13,7,30,Vancouver 2010 Olympics Nations Medals.csv,2010,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,11,20,13,44,London 2012 Olympics Nations Medals.csv,2012,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,8,6,5,19,Sochi 2014 Olympics Nations Medals.csv,2014,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,17,10,15,42,Rio 2016 Olympics Nations Medals.csv,2016,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,14,10,7,31,PyeongChang 2018 Olympics Nations Medals.csv,2018,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,10,11,16,37,Tokyo 2020 Olympics Nations Medals.csv,2020,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,12,10,5,27,beijing_2022_Olympics_Nations_Medals.csv,2022,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GERMANY,GER,GER,12,13,8,33,Paris 2024 Olympics_Nations Medals.csv,2024,Germany,WESTERN EUROPE,82422299,357021,230.9,0.67,2.18,4.16,27600,99,667.9,33.85,0.59,65.56,3,8.25,10.62,0.009,0.296,0.695
GHANA,GHA,GHA,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv,2020,Ghana,SUB-SAHARAN AFRICA,22409572,239460,93.6,0.23,-0.64,51.43,2200,74.8,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387
GREECE,GRE,GRE,4,4,0,8,Atlanta 1996 Olympics Nations Medals.csv,1996,Greece,WESTERN EUROPE,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
GREECE,GRE,GRE,4,6,3,13,Sydney 2000 Olympics Nations Medals.csv,2000,Greece,WESTERN EUROPE,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
GREECE,GRE,GRE,6,6,4,16,Athens 2004 Olympics Nations Medals.csv,2004,Greece,WESTERN EUROPE,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
GREECE,GRE,GRE,0,0,2,2,London 2012 Olympics Nations Medals.csv,2012,Greece,WESTERN EUROPE,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
GREECE,GRE,GRE,3,1,2,6,Rio 2016 Olympics Nations Medals.csv,2016,Greece,WESTERN EUROPE,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
GREECE,GRE,GRE,2,1,1,4,Tokyo 2020 Olympics Nations Medals.csv,2020,Greece,WESTERN EUROPE,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
GREECE,GRE,GRE,1,1,6,8,Paris 2024 Olympics_Nations Medals.csv,2024,Greece,WESTERN EUROPE,10688058,131940,81,10.37,2.35,5.53,20000,97.5,589.7,21.1,8.78,70.12,3,9.68,10.24,0.054,0.213,0.733
GRENADA,GRN,GRN,1,0,0,1,London 2012 Olympics Nations Medals.csv,2012,Grenada,LATIN AMER. & CARIB,89703,344,260.8,35.17,-13.92,14.62,5000,98,364.5,5.88,29.41,64.71,2,22.08,6.88,0.054,0.18,0.766
GRENADA,GRN,GRN,0,1,0,1,Rio 2016 Olympics Nations Medals.csv,2016,Grenada,LATIN AMER. & CARIB,89703,344,260.8,35.17,-13.92,14.62,5000,98,364.5,5.88,29.41,64.71,2,22.08,6.88,0.054,0.18,0.766
GRENADA,GRN,GRN,0,0,1,1,Tokyo 2020 Olympics Nations Medals.csv,2020,Grenada,LATIN AMER. & CARIB,89703,344,260.8,35.17,-13.92,14.62,5000,98,364.5,5.88,29.41,64.71,2,22.08,6.88,0.054,0.18,0.766
GRENADA,GRN,GRN,0,0,2,2,Paris 2024 Olympics_Nations Medals.csv,2024,Grenada,LATIN AMER. & CARIB,89703,344,260.8,35.17,-13.92,14.62,5000,98,364.5,5.88,29.41,64.71,2,22.08,6.88,0.054,0.18,0.766
GUATEMALA,GUA,GUA,0,1,0,1,London 2012 Olympics Nations Medals.csv,2012,Guatemala,LATIN AMER. & CARIB,12293545,108890,112.9,0.37,-1.67,35.93,4100,70.6,92.1,12.54,5.03,82.43,2,29.88,5.2,0.227,0.188,0.585
HONG KONG,HKG,HKG,1,0,0,1,Atlanta 1996 Olympics Nations Medals.csv,1996,Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,6355.7,67.12,5.24,2.97,28800,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906
HONG KONG,HKG,HKG,0,1,0,1,Athens 2004 Olympics Nations Medals.csv,2004,Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,6355.7,67.12,5.24,2.97,28800,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906
HONG KONG,HKG,HKG,0,0,1,1,London 2012 Olympics Nations Medals.csv,2012,Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,6355.7,67.12,5.24,2.97,28800,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906
HONG KONG,HKG,HKG,1,2,3,6,Tokyo 2020 Olympics Nations Medals.csv,2020,Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,6355.7,67.12,5.24,2.97,28800,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906
HONG KONG,HKG,HKG,2,0,2,4,Paris 2024 Olympics_Nations Medals.csv,2024,Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,6355.7,67.12,5.24,2.97,28800,93.5,546.7,5.05,1.01,93.94,2,7.29,6.29,0.001,0.092,0.906
HUNGARY,HUN,HUN,7,4,10,21,Atlanta 1996 Olympics Nations Medals.csv,1996,Hungary,EASTERN EUROPE,9981334,93030,107.3,0,0.86,8.57,13900,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651
HUNGARY,HUN,HUN,8,6,3,17,Sydney 2000 Olympics Nations Medals.csv,2000,Hungary,EASTERN EUROPE,9981334,93030,107.3,0,0.86,8.57,13900,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651
